A,B,C,D
1.0,4.0,-16.830000002384185,59.109999995231625
2.0,25.0,-15.890000004768371,353.16999999761583
3.0,15.0,-14.890000004768371,213.09999999731778
4.0,39.0,-13.659999985694885,549.2999999928475
5.0,8.0,-12.910000000596046,115.07000000357628
6.0,36.0,-11.869999994039535,507.2199999946356
7.0,12.0,-10.969999999254942,170.98
8.0,11.0,-9.739999998807907,157.32000000357627
9.0,36.0,-8.900000002682209,507.10999999523165
10.0,23.0,-7.8000000011920925,324.98
11.0,3.0,-6.659999985694885,45.150000001788136
12.0,20.0,-5.700000007152557,283.0399999986589
13.0,25.0,-4.789999995827674,353.29999999284746
14.0,24.0,-3.7699999999999996,339.08000000149013
15.0,1.0,-2.8799999994039536,17.09999999731779
16.0,22.0,-1.6899999868869782,311.3500000047684
17.0,31.0,-0.7600000095367432,437.21000000417234
18.0,2.0,0.009999999329447746,30.98
19.0,20.0,1.0399999986588955,283.2199999946356
20.0,35.0,2.239999990463257,493.3200000035763
21.0,5.0,2.98,72.99999999955297
22.0,29.0,4.109999995231629,409.26999999165537
23.0,20.0,5.050000000298024,283.32999999403955
24.0,26.0,6.210000004172326,367.15000000178816
25.0,6.0,7.089999999403954,87.29999999284745
26.0,4.0,8.130000005960465,59.13000000596046
27.0,31.0,9.160000007152558,437.3699999856949
28.0,24.0,10.039999998658896,339.3500000047684
29.0,14.0,11.290000002384186,199.32999999403953
30.0,34.0,12.28000001192093,479.32999999403955
31.0,12.0,13.219999994635582,171.1999999988079
32.0,14.0,14.32000000357628,199.32999999403953
33.0,26.0,15.260000001192093,367.28000001192095
34.0,32.0,15.98,451.23
35.0,31.0,17.18999999344349,437.0300000007451
36.0,22.0,18.039999998658896,311.05000000029804
37.0,14.0,19.13999999642372,199.07000000357627
38.0,30.0,20.169999997615815,423.26999999165537
39.0,28.0,21.07000000357628,395.1899999934435
40.0,3.0,22.28000001192093,45.31000001311302
41.0,33.0,23.210000004172326,465.12000000059606
42.0,37.0,24.01999999910593,521.050000000298
43.0,22.0,24.999999999552966,311.0399999986589
44.0,13.0,26.219999994635582,185.18000000298022
45.0,35.0,27.299999992847443,493.0399999986589
46.0,30.0,28.260000001192093,423.29999999284746
47.0,30.0,29.080000001490117,423.1899999934435
48.0,22.0,30.15000000178814,311.3500000047684
49.0,7.0,31.35999999523163,101.03000000074506
50.0,18.0,32.18999999344349,255.23999999046325
51.0,16.0,33.31000001311302,227.01999999910592
52.0,20.0,34.189999993443486,283.2600000011921
53.0,20.0,35.21000000417232,283.00999999932947
54.0,38.0,36.25000001072883,535.2500000107289
55.0,24.0,37.31000001311302,339.23
56.0,19.0,38.12000000059604,269.3200000035763
57.0,22.0,39.09999999731779,311.0999999973178
58.0,2.0,40.21000000417232,31.26999999165535
59.0,29.0,41.18000000298023,409.21000000417234
60.0,22.0,42.35000000476837,311.28000001192095
61.0,10.0,43.280000011920926,143.29000000238418
62.0,14.0,44.030000000745055,199.26999999165534
63.0,11.0,44.99999999955296,157.310000013113
64.0,34.0,46.189999993443486,479.01999999910595
65.0,15.0,47.08000000149011,213.23999999046325
66.0,8.0,48.189999993443486,115.28000001192093
67.0,4.0,49.34000001430511,59.03999999865889
68.0,7.0,50.01999999910593,101.16999999761582
69.0,0.0,51.070000003576276,3.0399999986588955
70.0,5.0,52.21000000417232,73.23
71.0,0.0,53.36999998569488,3.210000004172325
72.0,36.0,54.35000000476837,507.2399999904633
73.0,6.0,55.359999995231625,87.19999999880791
74.0,19.0,56.13999999642372,269.0999999973178
75.0,32.0,57.199999998807904,451.18000000298025
76.0,14.0,57.98999999977648,199.21999999463557
77.0,28.0,59.01999999910593,395.089999999404
78.0,8.0,59.99999999955296,115.01999999910593
79.0,3.0,60.98,45.35000000476837
80.0,14.0,62.25000001072883,199.1999999988079
81.0,3.0,63.26000000119209,45.08999999940395
82.0,9.0,64.31000001311301,129.15000000178813
83.0,31.0,65.08999999940396,437.1899999934435
84.0,20.0,66.23999999046326,283.1600000071526
85.0,12.0,67.07000000357628,171.05999999821185
86.0,10.0,68.29999999284745,143.18000000298022
87.0,9.0,69.00999999932945,129.07000000357627
88.0,35.0,70.15000000178814,493.08000000149013
89.0,5.0,70.98,73.0999999973178
90.0,30.0,72.32000000357628,423.1300000059605
91.0,15.0,73.23,213.29000000238418
92.0,2.0,74.07000000357628,31.32000000357628
93.0,35.0,75.29000000238419,493.15000000178816
94.0,3.0,76.35000000476838,44.99999999955296
95.0,17.0,77.18000000298024,241.0800000014901
96.0,36.0,78.21999999463559,507.32999999403955
97.0,21.0,79.21999999463559,297.1999999988079
98.0,21.0,80.31000001311303,297.28000001192095
99.0,24.0,81.19999999880791,338.999999999553
100.0,22.0,82.16999999761582,311.23
